"Subject_ID","Participant","Date","Time","Duration","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device","Device_OS","Illusion_Type","Block","Block_Order","Trial","Stimulus","Illusion_Strength","Illusion_Direction","Illusion_Side","Illusion_Difference","Illusion_Difference_Category","Illusion_Strength_Category","Answer","Error","ISI","RT"
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,19,"Ebbinghaus_-0.1000_-0.2800",-0.1,"Congruent","-1",0.28,"Hard","Mild","arrowright",0,1344,515
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,20,"Ebbinghaus_0.35714_-0.2150",0.35714,"Incongruent","-1",0.215,"Hard","Mild","arrowright",0,1450,457
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,21,"Ebbinghaus_-0.1000_-0.15857",-0.1,"Congruent","-1",0.15857,"Easy","Mild","arrowright",0,1246,403
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,22,"Ebbinghaus_-0.61429_0.28000",-0.61429,"Congruent","1",0.28,"Hard","Mild","arrowleft",0,1433,396
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,23,"Ebbinghaus_0.87143_0.28000",0.87143,"Incongruent","1",0.28,"Hard","Mild","arrowright",1,1072,510
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,24,"Ebbinghaus_0.61429_-0.11071",0.61429,"Incongruent","-1",0.11071,"Easy","Mild","arrowright",0,1425,427
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,25,"Ebbinghaus_0.61429_-0.2150",0.61429,"Incongruent","-1",0.215,"Hard","Mild","arrowright",0,1232,423
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,26,"Ebbinghaus_-0.87143_0.11071",-0.87143,"Congruent","1",0.11071,"Easy","Mild","arrowleft",0,1430,516
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,27,"Ebbinghaus_-0.87143_0.28000",-0.87143,"Congruent","1",0.28,"Hard","Mild","arrowleft",0,1057,360
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,28,"Ebbinghaus_-0.61429_-0.2150",-0.61429,"Congruent","-1",0.215,"Hard","Mild","arrowright",0,1229,462
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,29,"Ebbinghaus_0.61429_0.21500",0.61429,"Incongruent","1",0.215,"Hard","Mild","arrowleft",0,1365,445
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,30,"Ebbinghaus_0.10000_0.28000",0.1,"Incongruent","1",0.28,"Hard","Mild","arrowleft",0,1037,413
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,31,"Ebbinghaus_0.35714_0.15857",0.35714,"Incongruent","1",0.15857,"Easy","Mild","arrowleft",0,1113,403
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,32,"Ebbinghaus_-0.1000_0.15857",-0.1,"Congruent","1",0.15857,"Easy","Mild","arrowleft",0,1451,437
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,33,"Ebbinghaus_-0.35714_0.11071",-0.35714,"Congruent","1",0.11071,"Easy","Mild","arrowleft",0,1437,440
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,34,"Ebbinghaus_-0.1000_0.21500",-0.1,"Congruent","1",0.215,"Hard","Mild","arrowleft",0,1155,401
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,35,"Ebbinghaus_-0.35714_-0.15857",-0.35714,"Congruent","-1",0.15857,"Easy","Mild","arrowright",0,1074,485
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,60.56,"chrome","108.0.0","Desktop","Windows 10","Ebbinghaus",1,1,36,"Ebbinghaus_-0.87143_-0.2800",-0.87143,"Congruent","-1",0.28,"Hard","Mild","arrowright",0,1177,419
