"Subject_ID","Participant","Date","Time","Experiment_Duration","Screen_Resolution","Screen_Size","Browser","Browser_Version","Device","Device_OS"
"sub-1","vc776p","18/01/2023","17:07:16",18.0392666666667,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-2","m48wjj","19/01/2023","11:03:19",21.2292,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-3","kyydnu","19/01/2023","14:37:45",15.04235,"1366x657",0.897462,"chrome","109.0.0","Desktop","Windows 10"
"sub-4","gnv9tb","19/01/2023","16:51:00",18.88445,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-5","5jrvtu","25/01/2023","15:28:38",21.6409333333333,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-6","y3hbu8","20/01/2023","11:13:49",8706.90441666667,"952x563",0.535976,"chrome","109.0.0","Desktop","Windows 10"
"sub-7","6d077q","27/01/2023","18:50:48",14.6218333333333,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-8","2bhdeq","30/01/2023","10:29:56",23.2369666666667,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-9","2ynv9t","30/01/2023","13:26:51",21.0775833333333,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-10","9mjruj","31/01/2023","18:06:27",90.12295,"1024x600",0.6144,"chrome","109.0.0","Desktop","Windows 10"
"sub-11","mdjbof","01/02/2023","08:44:18",148.08865,"952x563",0.535976,"chrome","109.0.0","Desktop","Windows 10"
"sub-12","dxk624","01/02/2023","18:19:56",18.2974833333333,"1366x657",0.897462,"chrome","109.0.0","Desktop","Windows 10"
"sub-13","cq4hnm","04/02/2023","14:04:32",18.3771333333333,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-14","pm88c0","09/02/2023","15:18:45",17.66675,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-15","4ajc6z","10/02/2023","14:23:33",21.2108166666667,"1366x600",0.8196,"chrome","109.0.0","Desktop","Windows 10"
"sub-16","qprclq","11/02/2023","12:48:42",17.6431166666667,"1366x711",0.971226,"chrome","109.0.0","Desktop","Windows 10"
